NAME,City,State,Postal Code,Age,Breed,Image URL,Access URL,Location,Coordinate,lat,lng,Shelter
Buster,Los Angeles,CA,90067,Adult,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here,"999 Main street, Los Angeles, CA, 90067","(33.991801, -118.473835)",33.991801,-118.473835,Los Angeles Rescue
Abby,Los Angeles,CA,90067,Adult,American Staffordshire Terrier,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here,"999 Main street, Los Angeles, CA, 90067","(33.991801, -118.473835)",33.991801,-118.473835,Los Angeles Rescue
Lenni,Los Angeles,CA,90031,Young,German Shepherd Dog Mix,https://dbw3zep4prcju.cloudfront.net/animal/c999474a-35bb-405d-adbd-8ee5c316f8bb/image/8f169274-17be-49df-8766-51e6bfb3cbdf.jpg?versionId=YvH1P5jnU3zPHIFiUNWMg_s9mVA5DQJA&bust=1732685826&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Hanna,Los Angeles,CA,90031,Young,German Shepherd Dog Mix,https://dbw3zep4prcju.cloudfront.net/animal/b6029bc2-85d8-486a-9e40-8ca171d736f8/image/1e4f9954-c4d9-4495-a771-376b40453e4d.jpg?versionId=deZ319A3P3ExtJM7Z6TcJzbKEcFbVjlM&bust=1732161950&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Tucan,Los Angeles,CA,90031,Young,Pit Bull Terrier Mix,https://dbw3zep4prcju.cloudfront.net/animal/a52fa979-26d7-419b-ba35-27299ce73993/image/25227546-3d20-44a0-863c-2809df996816.jpg?versionId=W5O54dVwYk13ssnOM5_hw94EgYWc_DcN&bust=1725584511&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Gaga,Los Angeles,CA,90031,Adult,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/c3f9fca4-a6a7-4418-9831-77d4237ad0da/image/811b1be7-93dc-421c-b7b4-31e299392fed.jpg?versionId=JnWxGwWxRQeo82lkKRN0jlswrMfJ3GEC&bust=1731273166&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Shannon,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/775bbe6f-72ca-40ff-85e0-a26ddb407239/image/d277f551-39a0-48a0-b7e5-7c0be01380df.jpg?versionId=tgtol_lBVe1ty6T0qEORzzO_yvSd_D1b&bust=1731271806&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Watson,Los Angeles,CA,90031,Young,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/c4618273-5a5e-42fe-8df7-c4e714e4a204/image/d9f5740f-2d59-47eb-9587-e0232910094c.jpg?versionId=6QFKIheZm5bbEjR8EFlXCUPVyiMBSD6n&bust=1731268461&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Zara,Los Angeles,CA,90031,Young,Chihuahua,https://dbw3zep4prcju.cloudfront.net/animal/6ecb7270-0252-4f2b-8847-bf00f0228cdd/image/791beb37-8957-4b43-82ed-a0c9b2b132e3.jpg?versionId=.9pktuTMHs87bx_qAr717qRuWBR9B0gj&bust=1731262353&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Ellie,Los Angeles,CA,90031,Young,American Staffordshire Terrier,https://dbw3zep4prcju.cloudfront.net/animal/7b45a371-4311-46e1-95c4-d69738fe16a3/image/d29f14e3-dfe2-436e-8f4e-2fa5434b5e5b.jpg?versionId=KKRSOSl55SH0sOtbwWsLx8ZA1mSt.yng&bust=1731257763&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Valentina,Los Angeles,CA,90031,Adult,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/61c57f62-5041-4f61-8168-0d5226e435f7/image/19d7cc9e-b469-46d5-928a-850e4f2ef2b1.jpg?versionId=ee5mrwR_CgKhLfBQnGijp6hUvl.71uD1&bust=1731248856&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Cafesita,Los Angeles,CA,90031,Young,Siberian Husky Mix,https://dbw3zep4prcju.cloudfront.net/animal/c417f85c-769e-4310-84ad-ee1020632700/image/d4854cb8-aa05-4288-9e16-96c9ec6eb644.jpeg?versionId=4l.ee3cdo0brMfQSidc8ilL7Yp7_ElFo&bust=1731198448&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Pretzel,Los Angeles,CA,90031,Senior,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/f7eb979b-0e8c-4f29-9e77-1be92188be9a/image/2fd1db94-b8dd-4d94-aa94-d407397fa04e.jpeg?versionId=adX.jMBeJiz9jZDPp6Hcr8utun46lK41&bust=1731195029&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Brita,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/64d2db6d-9b77-4d33-bd1c-d4220834d8c4/image/545c5b1d-3ec5-4632-8f26-0da9584076b7.jpeg?versionId=lAxzEZ3mA7VLdLvOoR6eSQPEYdXQ9ghq&bust=1731189273&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Joaquin,Los Angeles,CA,90031,Young,Bichon Frise,https://dbw3zep4prcju.cloudfront.net/animal/662156e5-a65c-4589-a3a8-f335ad6000c0/image/589f68f0-0d76-43bd-8734-ffbd341991ca.jpg?versionId=0.pQpaxXJzmx.PzHO2UHY87qLiyPkE60&bust=1731165123&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Lluvia,Los Angeles,CA,90031,Adult,German Shepherd Dog,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Jay Z,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Suni,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/b6a74748-bf6d-49f8-a5fb-9905feaf31e7/image/05972e86-cbfd-4068-bb96-990d3937b758.jpeg?versionId=4FjwI5g7VGksXI3qoK9AbFCjGyZK9Cne&bust=1731017628&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Chip,Los Angeles,CA,90031,Adult,Pit Bull Terrier Mix,https://dbw3zep4prcju.cloudfront.net/animal/c1c48d6d-716f-4d1b-a0c7-8e373fef8ac5/image/76d542ac-0ae8-4bc5-853d-2cca56b942f0.jpeg?versionId=y.hOe9HuiI2mNUuonyi4Dd7jXWG1Hpw6&bust=1731015589&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Eminem,Los Angeles,CA,90031,Adult,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/3ebfa037-ded7-4aba-8691-18679438625c/image/3a13bc00-891e-4b60-90cc-26f1f9041222.jpeg?versionId=PZljErj1_QqUODhqdPPpxawYtnZLUldn&bust=1731011853&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
D.J.,Los Angeles,CA,90031,Young,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/8f56f522-e44a-4511-841a-29a74c0d3d78/image/5d464bf9-f968-4a42-9992-8304b4b1e7ea.jpg?versionId=buxOQpoxubJDcDwnSpJAt9G5NIsoyEZ1&bust=1730755918&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Gyro,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/0927f816-53d2-4aaf-9237-0f285efba5ec/image/42d75fb3-4333-4bce-aa26-f766f74c1a4f.jpeg?versionId=RUktxtPXp5vjbiTkIWtz5GKKk9wG7ac_&bust=1732076995&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Aura,Los Angeles,CA,90031,Adult,Chihuahua & Dachshund Mix,https://dbw3zep4prcju.cloudfront.net/animal/db93aafa-b912-4c0a-9e36-a23bfe232d9f/image/7b14a6ab-2acf-460f-9e37-5dc192043f03.jpeg?versionId=B8P0zh2pmeQy8TbeYZ7VeSfUbitkyt9A&bust=1732076882&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
China,Los Angeles,CA,90031,Young,German Shepherd Dog,https://dbw3zep4prcju.cloudfront.net/animal/47b63670-26b8-4243-bfd3-e58ebd7ee4e8/image/679179ac-e896-4c29-82b4-02e884a4d43a.jpeg?versionId=0BGhvhruvCCvxGIBR3CMOgCDqQhgb1X7&bust=1732076753&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Rita,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/4819d0a3-4866-43f7-a1f9-067af0785854/image/85478208-4362-4602-a62a-bde6e7bd0322.jpeg?versionId=Bfo9iY.QoKCmRwhWh5ulgAQS7jUsBYwp&bust=1732076640&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Chocorollo Choco,Los Angeles,CA,90031,Young,Belgian Shepherd / Malinois,https://dbw3zep4prcju.cloudfront.net/animal/e3bfb02c-90d3-4033-b2e9-b87fe4a1ed69/image/715ffc0b-444b-411c-8840-110e7448b2c0.jpeg?versionId=27ue9nQbGbxVsbswQxCRZODuK3Ig4v9l&bust=1730146426&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Dori,Los Angeles,CA,90031,Young,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/9a7f30a5-7aee-40f6-96b2-d9337738bb51/image/4c7b90d6-e6cd-47aa-938e-b067c37ca2e8.jpeg?versionId=ch.PzL7abidNHDlto6quQ_l03piSBUwO&bust=1730146097&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Sarge,Los Angeles,CA,90031,Young,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/41574cca-8eb1-45d8-a399-7df26ac77a84/image/06726041-e509-45bb-80a4-34f7428c072b.jpeg?versionId=pPb53U19aAllihyC3rI6klgQzYgfXJ1P&bust=1717574280&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Biscuit,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/fc046c00-b827-47ea-a11d-a510707e6a20/image/2a59f101-3b96-4f0e-9f9d-38193eed25f7.jpg?versionId=j.qJt5Q60T10kGiYmu2RAhTmuY3LVnhB&bust=1731052907&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Yara,Los Angeles,CA,90031,Adult,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/3c422d8c-70d9-4f6a-9e69-e17fececca60/image/5f5d5237-2d5f-4225-b9e7-e34f17156010.jpg?versionId=L98wJHNWxNnCLGSc57adYOOCT56p0wUD&bust=1732518772&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Uma,Los Angeles,CA,90031,Young,Boxer,https://dbw3zep4prcju.cloudfront.net/animal/c999474a-35bb-405d-adbd-8ee5c316f8bb/image/8f169274-17be-49df-8766-51e6bfb3cbdf.jpg?versionId=YvH1P5jnU3zPHIFiUNWMg_s9mVA5DQJA&bust=1732685826&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Cazzu,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/b6029bc2-85d8-486a-9e40-8ca171d736f8/image/1e4f9954-c4d9-4495-a771-376b40453e4d.jpg?versionId=deZ319A3P3ExtJM7Z6TcJzbKEcFbVjlM&bust=1732161950&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Freckles,Los Angeles,CA,90031,Young,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/a52fa979-26d7-419b-ba35-27299ce73993/image/25227546-3d20-44a0-863c-2809df996816.jpg?versionId=W5O54dVwYk13ssnOM5_hw94EgYWc_DcN&bust=1725584511&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
COLIN,Los Angeles,CA,90031,Young,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/c3f9fca4-a6a7-4418-9831-77d4237ad0da/image/811b1be7-93dc-421c-b7b4-31e299392fed.jpg?versionId=JnWxGwWxRQeo82lkKRN0jlswrMfJ3GEC&bust=1731273166&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
OLIVIA,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/775bbe6f-72ca-40ff-85e0-a26ddb407239/image/d277f551-39a0-48a0-b7e5-7c0be01380df.jpg?versionId=tgtol_lBVe1ty6T0qEORzzO_yvSd_D1b&bust=1731271806&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Baxter,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/c4618273-5a5e-42fe-8df7-c4e714e4a204/image/d9f5740f-2d59-47eb-9587-e0232910094c.jpg?versionId=6QFKIheZm5bbEjR8EFlXCUPVyiMBSD6n&bust=1731268461&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Flora,Los Angeles,CA,90031,Adult,Husky,https://dbw3zep4prcju.cloudfront.net/animal/6ecb7270-0252-4f2b-8847-bf00f0228cdd/image/791beb37-8957-4b43-82ed-a0c9b2b132e3.jpg?versionId=.9pktuTMHs87bx_qAr717qRuWBR9B0gj&bust=1731262353&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Popi,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/7b45a371-4311-46e1-95c4-d69738fe16a3/image/d29f14e3-dfe2-436e-8f4e-2fa5434b5e5b.jpg?versionId=KKRSOSl55SH0sOtbwWsLx8ZA1mSt.yng&bust=1731257763&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Pandora,Los Angeles,CA,90031,Adult,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/61c57f62-5041-4f61-8168-0d5226e435f7/image/19d7cc9e-b469-46d5-928a-850e4f2ef2b1.jpg?versionId=ee5mrwR_CgKhLfBQnGijp6hUvl.71uD1&bust=1731248856&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Lumi,Los Angeles,CA,90031,Adult,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/c417f85c-769e-4310-84ad-ee1020632700/image/d4854cb8-aa05-4288-9e16-96c9ec6eb644.jpeg?versionId=4l.ee3cdo0brMfQSidc8ilL7Yp7_ElFo&bust=1731198448&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Venus,Los Angeles,CA,90031,Puppy,Cane Corso,https://dbw3zep4prcju.cloudfront.net/animal/f7eb979b-0e8c-4f29-9e77-1be92188be9a/image/2fd1db94-b8dd-4d94-aa94-d407397fa04e.jpeg?versionId=adX.jMBeJiz9jZDPp6Hcr8utun46lK41&bust=1731195029&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Jopito,Los Angeles,CA,90031,Adult,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/64d2db6d-9b77-4d33-bd1c-d4220834d8c4/image/545c5b1d-3ec5-4632-8f26-0da9584076b7.jpeg?versionId=lAxzEZ3mA7VLdLvOoR6eSQPEYdXQ9ghq&bust=1731189273&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Lenni,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/662156e5-a65c-4589-a3a8-f335ad6000c0/image/589f68f0-0d76-43bd-8734-ffbd341991ca.jpg?versionId=0.pQpaxXJzmx.PzHO2UHY87qLiyPkE60&bust=1731165123&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Hanna,Los Angeles,CA,90031,Adult,French Bulldog Mix,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Tucan,Los Angeles,CA,90031,Adult,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
